home,auto,food,shopping,travel,pets,health,bills,fees,entertainment,personal_care,education,gifts,business,financial,income
Mortgage & Rent,Gas & Fuel,Groceries,Pictures/Photography,Hotel,Veterinary,Marriage Counseling,Internet,Bank Fee,Music,Laundry,Education,Gift,Advertising,credit report,From Joint Checking
Rental Expense,Service & Parts,Alcohol & Bars,Shopping,Air Travel,Pets,Skiing,Power Bill,Marriage License,Movies & DVDs,Jewelry Repair,Books & Supplies,Charity,Shipping,Financial Advisor,
Security Deposit,Auto Insurance,Restaurants,Sporting Goods,Travel,Pet Food & Supplies,Pharmacy,Gas Bill,Foreign Exchange Fee,Tours,Dry Cleaning,Printing Costs,Gifts & Donations,Office Supplies,Identity Protection,
Furnishings,Tickets & Fines,Restaurants & Drinks,Party Supplies,Airline Baggage Fee,,Sports,Water/Sewer,ATM Fee,Amusement,Hair,Professional Society,,,Life Insurance,
Storage Rent,Parking,Catering,Clothing,Rental Car & Taxi,,Hiking/Camping,Utilities,,Boat Cruise,Personal Care,Student Loans,,,,
Postage & Shipping,Public Transportation,Coffee Shops,Books,Travel Insurance,,,Bills & Utilities,,Theater,,Transcript ,,,,
Moving Supplies,License/Registration,Restaurant Coupons,Invitations,Camping Fees,,,,,Hunting and Fishing,,Tuition,,,,
Renter Insurance,Car Wash/Detail,Food on the Road,Fabric/Sewing,,,,,,Hobbies/Crafts,,,,,,
Home Improvement,,Sweets & Treats,Costumes,,,,,,,,,,,,
Home Appliances,,Fast Food,Holiday Decorations,,,,,,,,,,,,
Home Supplies,,Business Meal,Electronics & Software,,,,,,,,,,,,
Home Insurance,,Restaurants - Work,,,,,,,,,,,,,
Furniture,,Convenience Store,,,,,,,,,,,,,
Lawn & Garden,,Food processing,,,,,,,,,,,,,
Tools & Equipment,,,,,,,,,,,,,,,
